MQ-3 (Alcohol),MQ-4 (Methane),MQ-135 (Ammonia),State
2423,1306,1139,Risky
2415,1301,1120,Risky
2413,1309,1121,Risky
2407,1309,1125,Risky
2413,1309,1115,Risky
2415,1314,1120,Risky
2415,1305,1120,Risky
2414,1307,1135,Risky
2412,1266,1132,Risky
2413,1379,1121,Risky
2423,1296,1117,Risky
2405,1296,1014,Risky
2411,1301,1127,Risky
2406,1296,1122,Risky
2414,1301,1123,Risky
2399,1311,1130,Risky
2411,1307,1125,Risky
2406,1306,1113,Risky
2403,1307,1119,Risky
2416,1296,1131,Risky
2409,1301,1121,Risky
2416,1299,1118,Risky
2405,1297,1118,Risky
2411,1298,1124,Risky
2403,1296,1121,Risky
2405,1295,1110,Risky
2416,1290,1118,Risky
2420,1284,1115,Risky
2413,1296,1127,Risky
2411,1292,1105,Risky
2407,1303,1125,Risky
2407,1296,1119,Risky
2422,1294,1116,Risky
2416,1295,1127,Risky
2415,1305,1138,Risky
2416,1309,1134,Risky
2416,1307,1119,Risky
2416,1302,1143,Risky
2410,1312,1136,Risky
2418,1303,1138,Risky
2414,1299,1129,Risky
2416,1311,1125,Risky
2416,1306,1143,Risky
2423,1306,1134,Risky
2413,1310,1138,Risky
2422,1296,1132,Risky
2418,1296,1136,Risky
2421,1296,1131,Risky
2433,1300,1131,Risky
2416,1297,1141,Risky
2415,1305,1122,Risky
2416,1312,1133,Risky
2505,1310,1135,Risky
2416,1298,1137,Risky
2428,1313,1136,Risky
2423,1306,1117,Risky
2421,1303,1129,Risky
2419,1310,1146,Risky
2420,1307,1119,Risky
2415,1296,1127,Risky
2415,1296,1122,Risky
2405,1307,1136,Risky
2416,1310,1125,Risky
2418,1260,1133,Risky
2415,1249,1134,Risky
2421,1299,1141,Risky
2432,1315,1150,Risky
2427,1314,1150,Risky
2432,1310,1151,Risky
2418,1302,1139,Risky
2430,1319,1147,Risky
2419,1298,1150,Risky
2425,1303,1167,Risky
2414,1309,1137,Risky
2416,1306,1147,Risky
2415,1305,1137,Risky
2416,1297,1136,Risky
2423,1317,1148,Risky
2411,1302,1149,Risky
2415,1306,1136,Risky
2413,1308,1142,Risky
2414,1306,1136,Risky
2419,1311,1151,Risky
2416,1313,1151,Risky
2421,1319,1146,Risky
2421,1315,1141,Risky
2414,1312,1141,Risky
2416,1300,1136,Risky
2411,1301,1142,Risky
2416,1307,1140,Risky
2422,1301,1138,Risky
2419,1308,1140,Risky
2416,1317,1139,Risky
2416,1307,1138,Risky
2423,1301,1135,Risky
2490,1301,1165,Risky
2503,1296,1151,Risky
2424,1275,1133,Risky
2383,1294,1137,Risky
2514,1316,1178,Risky
2511,1318,1173,Risky
2512,1314,1157,Risky
2507,1314,1171,Risky
2502,1300,1168,Risky
2499,1311,1162,Risky
2427,1305,1170,Risky
2414,1286,1139,Risky
2448,1267,1142,Risky
2454,1301,1156,Risky
2481,1307,1159,Risky
2416,1297,1179,Risky
2401,1310,1182,Risky
2406,1307,1180,Risky
2400,1306,1188,Risky
2411,1231,1179,Risky
2352,1313,1086,Risky
2378,1310,1146,Risky
2384,1299,1170,Risky
2427,1318,1173,Risky
2405,1307,1161,Risky
2473,1310,1172,Risky
2478,1301,1168,Risky
2491,1307,1167,Risky
2495,1303,1164,Risky
2475,1296,1163,Risky
2498,1296,1151,Risky
2507,1300,1157,Risky
2512,1303,1163,Risky
2496,1307,1161,Risky
2509,1296,1156,Risky
2505,1312,1168,Risky
2503,1296,1167,Risky
2512,1297,1168,Risky
2513,1311,1154,Risky
2518,1302,1163,Risky
2529,1309,1163,Risky
2531,1298,1162,Risky
2539,1309,1159,Risky
2539,1303,1151,Risky
2529,1299,1159,Risky
2539,1293,1168,Risky
2430,1357,1180,Risky
2427,1274,1181,Risky
2429,1309,1194,Risky
2422,1301,1192,Risky
2426,1309,1186,Risky
2426,1375,1185,Risky
2427,1296,1178,Risky
2421,1310,1093,Risky
2416,1307,1186,Risky
2411,1314,1185,Risky
2419,1302,1183,Risky
2428,1309,1168,Risky
2415,1303,1186,Risky
2416,1306,1180,Risky
2480,1299,1181,Risky
2415,1317,1184,Risky
2410,1305,1182,Risky
2401,1296,1179,Risky
2332,1313,1185,Risky
2411,1301,1174,Risky
2409,1303,1179,Risky
2397,1306,1182,Risky
2453,1306,1178,Risky
2449,1302,1184,Risky
2405,1302,1172,Risky
2410,1312,1163,Risky
2411,1306,1172,Risky
2427,1299,1166,Risky
2440,1315,1183,Risky
2448,1313,1186,Risky
2445,1330,1230,Risky
2448,1328,1232,Risky
2442,1331,1231,Risky
2414,1310,1200,Risky
2444,1318,1217,Risky
2420,1322,1210,Risky
2409,1309,1205,Risky
2416,1314,1213,Risky
2416,1313,1206,Risky
2420,1326,1206,Risky
2414,1317,1213,Risky
2416,1327,1207,Risky
2405,1318,1211,Risky
2448,1308,1202,Risky
2372,1313,1205,Risky
2430,1313,1202,Risky
2431,1312,1215,Risky
2432,1319,1201,Risky
2425,1324,1200,Risky
2403,1322,1197,Risky
2399,1314,1200,Risky
2395,1312,1204,Risky
2402,1301,1200,Risky
2401,1310,1206,Risky
2429,1315,1205,Risky
2425,1312,1201,Risky
2443,1310,1200,Risky
2453,1312,1188,Risky
2452,1317,1199,Risky
2447,1311,1200,Risky
2446,1321,1195,Risky
2475,1338,1267,Risky
2473,1342,1259,Risky
2463,1331,1249,Risky
2477,1344,1263,Risky
2474,1339,1261,Risky
2420,1338,1257,Risky
2427,1417,1266,Risky
2492,1333,1264,Risky
2495,1341,1261,Risky
2494,1339,1263,Risky
2436,1347,1267,Risky
2448,1347,1171,Risky
2459,1344,1255,Risky
2467,1242,1264,Risky
2491,1341,1255,Risky
2469,1329,1219,Risky
2433,1333,1241,Risky
2431,1309,1238,Risky
2448,1267,1248,Risky
2432,1340,1235,Risky
2416,1331,1239,Risky
2449,1332,1237,Risky
2433,1317,1239,Risky
2431,1330,1262,Risky
2448,1329,1133,Risky
2449,1325,1239,Risky
2417,1331,1230,Risky
2429,1327,1234,Risky
2423,1328,1243,Risky
2549,1374,1344,Risky
2608,1392,1359,Risky
2518,1392,1360,Risky
2579,1387,1347,Risky
2449,1341,1307,Risky
2459,1346,1325,Risky
2467,1349,1370,Risky
2453,1349,1325,Risky
2462,1357,1313,Risky
2478,1373,1343,Risky
2450,1372,1306,Risky
2480,1356,1330,Risky
2480,1370,1322,Risky
2447,1358,1370,Risky
2433,1371,1368,Risky
2414,1360,1362,Risky
2463,1360,1314,Risky
2449,1360,1307,Risky
2492,1360,1308,Risky
2480,1360,1327,Risky
2470,1359,1312,Risky
2457,1371,1305,Risky
2437,1371,1317,Risky
2471,1377,1399,Risky
2448,1380,1315,Risky
2444,1376,1307,Risky
