MQ-3 (Alcohol),MQ-4 (Methane),MQ-135 (Ammonia),State
1921,786,789,Safe
1931,778,787,Safe
1927,770,786,Safe
1929,796,784,Safe
1915,777,784,Safe
1933,786,787,Safe
1919,758,794,Safe
1921,784,784,Safe
1919,778,785,Safe
1909,779,781,Safe
1959,771,784,Safe
1923,774,774,Safe
1920,780,786,Safe
1918,765,783,Safe
1919,779,784,Safe
1918,772,779,Safe
1923,757,777,Safe
1922,772,781,Safe
1915,767,777,Safe
1910,774,784,Safe
1913,784,784,Safe
1921,773,770,Safe
1910,764,783,Safe
1914,775,762,Safe
1910,765,784,Safe
1914,778,781,Safe
1911,763,766,Safe
1910,755,777,Safe
1904,759,778,Safe
1905,763,781,Safe
1919,816,791,Safe
1942,813,805,Safe
1938,810,787,Safe
1941,807,784,Safe
1953,805,799,Safe
1936,805,798,Safe
1941,802,783,Safe
1937,815,785,Safe
1936,795,789,Safe
1933,797,791,Safe
1940,801,784,Safe
1946,806,782,Safe
1933,796,795,Safe
1939,791,788,Safe
1937,791,784,Safe
1918,794,784,Safe
1935,793,785,Safe
1936,791,787,Safe
1929,800,784,Safe
1936,795,787,Safe
1938,782,780,Safe
1934,789,785,Safe
1925,784,784,Safe
1920,791,788,Safe
1935,785,783,Safe
1939,791,795,Safe
1936,784,791,Safe
1963,845,810,Safe
1967,837,818,Safe
1962,848,812,Safe
1926,835,812,Safe
1963,843,807,Safe
1963,837,813,Safe
1963,839,798,Safe
1965,826,803,Safe
1954,836,816,Safe
1965,827,805,Safe
1959,835,803,Safe
1952,822,797,Safe
1936,831,813,Safe
1954,831,799,Safe
1911,822,796,Safe
1967,821,801,Safe
1954,838,806,Safe
1947,822,786,Safe
1936,818,787,Safe
1948,816,799,Safe
1953,816,800,Safe
1953,821,832,Safe
1953,829,793,Safe
1957,816,797,Safe
1957,814,793,Safe
1936,822,798,Safe
1952,807,798,Safe
1946,816,798,Safe
1950,814,793,Safe
1962,816,791,Safe
1943,811,783,Safe
1969,855,702,Safe
1969,848,815,Safe
1959,939,798,Safe
1968,848,804,Safe
1953,850,812,Safe
1967,847,816,Safe
1967,844,816,Safe
1959,832,815,Safe
1969,833,813,Safe
1965,833,806,Safe
1966,855,816,Safe
1963,845,810,Safe
1967,837,818,Safe
1962,848,812,Safe
1926,835,812,Safe
1963,843,807,Safe
1963,837,813,Safe
1963,839,798,Safe
1965,826,803,Safe
1954,836,816,Safe
1965,827,805,Safe
1959,835,803,Safe
1952,822,797,Safe
1936,831,813,Safe
1954,831,799,Safe
1911,822,796,Safe
1967,821,801,Safe
1954,838,806,Safe
1947,822,786,Safe
1936,818,787,Safe
1984,880,818,Safe
1998,876,831,Safe
1971,874,807,Safe
1952,871,826,Safe
1957,871,807,Safe
1962,875,814,Safe
1955,868,812,Safe
1968,867,704,Safe
1968,865,810,Safe
1965,858,814,Safe
1943,859,823,Safe
1963,858,809,Safe
1955,859,816,Safe
1953,855,816,Safe
1962,865,816,Safe
1959,850,807,Safe
1889,866,811,Safe
1968,859,810,Safe
1948,855,807,Safe
1968,829,812,Safe
1973,849,834,Safe
1960,859,810,Safe
1977,848,809,Safe
1967,848,810,Safe
1971,850,811,Safe
1969,847,804,Safe
1959,848,802,Safe
1959,830,803,Safe
1947,821,789,Safe
1951,833,811,Safe
1951,829,816,Safe
1982,838,815,Safe
1959,827,818,Safe
1966,837,814,Safe
1943,835,816,Safe
1934,839,820,Safe
1950,853,828,Safe
1948,842,816,Safe
1934,837,827,Safe
1941,838,832,Safe
1937,834,817,Safe
1925,848,814,Safe
1904,850,815,Safe
1854,836,820,Safe
1955,819,874,Safe
1947,855,833,Safe
1958,877,846,Safe
1857,894,834,Safe
1971,889,829,Safe
1975,882,821,Safe
1959,882,827,Safe
1963,873,821,Safe
1968,875,829,Safe
1973,885,825,Safe
1978,877,816,Safe
1968,886,817,Safe
1980,895,821,Safe
1966,887,816,Safe
1967,879,816,Safe
1969,881,831,Safe
1756,713,654,Safe
1808,717,647,Safe
1763,720,654,Safe
1753,717,650,Safe
1766,717,646,Safe
1763,720,662,Safe
1756,647,644,Safe
1762,739,653,Safe
1763,720,656,Safe
1768,720,571,Safe
1735,738,655,Safe
1711,714,669,Safe
1713,725,668,Safe
1732,720,658,Safe
1734,729,659,Safe
1735,737,657,Safe
1719,725,666,Safe
1721,732,660,Safe
1737,727,665,Safe
1743,737,669,Safe
1723,758,656,Safe
1743,737,669,Safe
1723,758,656,Safe
1737,730,657,Safe
1727,727,661,Safe
1727,723,656,Safe
1733,722,651,Safe
1735,738,667,Safe
1730,720,656,Safe
1751,719,658,Safe
1755,734,658,Safe
1761,725,656,Safe
1773,725,669,Safe
1766,713,650,Safe
1761,720,663,Safe
1769,727,659,Safe
1770,736,647,Safe
1813,710,643,Safe
1765,720,660,Safe
1770,731,656,Safe
1765,720,656,Safe
1777,726,658,Safe
1774,715,652,Safe
1760,702,649,Safe
1755,720,666,Safe
1767,735,656,Safe
1762,718,656,Safe
1769,742,654,Safe
1766,725,656,Safe
1771,722,656,Safe
1754,720,651,Safe
1761,737,652,Safe
1759,736,657,Safe
1762,720,650,Safe
1757,713,651,Safe
1756,721,656,Safe
1770,725,651,Safe
1755,722,651,Safe
1761,720,655,Safe
1770,720,653,Safe
1775,725,656,Safe
1773,726,655,Safe
1771,729,656,Safe
1770,729,653,Safe
1755,729,661,Safe
1760,721,659,Safe
1763,721,658,Safe
1747,726,653,Safe
1760,727,655,Safe
1767,815,658,Safe
1761,731,655,Safe
1772,715,657,Safe
1770,732,661,Safe
1763,726,651,Safe
1763,731,662,Safe
1761,722,656,Safe
1757,720,625,Safe
1771,734,663,Safe
1767,720,656,Safe
1776,724,656,Safe
1779,736,656,Safe
1757,721,646,Safe
1758,720,650,Safe
1761,721,670,Safe
1762,722,660,Safe
1759,725,657,Safe
1765,726,657,Safe
1750,721,660,Safe
1776,725,661,Safe
1789,726,667,Safe
1758,737,663,Safe
1774,715,667,Safe
1776,735,661,Safe
1735,722,659,Safe
1781,731,659,Safe
1699,737,668,Safe
1757,735,669,Safe
1763,741,660,Safe
1775,735,659,Safe
1766,735,665,Safe
1763,729,663,Safe
1767,732,662,Safe
1770,737,663,Safe
1775,733,657,Safe
1780,737,639,Safe
1772,743,663,Safe
1765,726,671,Safe
1767,734,661,Safe
1761,734,661,Safe
1770,735,672,Safe
1771,736,657,Safe
1757,732,560,Safe
1775,731,661,Safe
1771,726,656,Safe
1770,736,657,Safe
1776,720,656,Safe
1775,735,658,Safe
1776,718,661,Safe
1790,741,671,Safe
1794,677,671,Safe
1787,741,657,Safe
1797,735,657,Safe
1963,845,810,Safe
1967,837,818,Safe
1962,848,812,Safe
1926,835,812,Safe
1963,843,807,Safe
1963,837,813,Safe
1963,839,798,Safe
1965,826,803,Safe
1954,836,816,Safe
1965,827,805,Safe
1959,835,803,Safe
1952,822,797,Safe
1936,831,813,Safe
1954,831,799,Safe
1911,822,796,Safe
1967,821,801,Safe
1954,838,806,Safe
1947,822,786,Safe
1936,818,787,Safe
1984,880,818,Safe
1998,876,831,Safe
1971,874,807,Safe
1952,871,826,Safe
1957,871,807,Safe
1962,875,814,Safe
1955,868,812,Safe
1968,867,704,Safe
1968,865,810,Safe
