MQ-3 (Alcohol),MQ-4 (Methane),MQ-135 (Ammonia),State
3725,1825,2161,Spoiled
3736,1833,2159,Spoiled
3732,1821,2160,Spoiled
3722,1828,2162,Spoiled
3729,1823,2160,Spoiled
3745,1826,2161,Spoiled
3750,1818,2160,Spoiled
3742,1813,2160,Spoiled
3737,1809,2153,Spoiled
3737,1826,2159,Spoiled
3730,1823,2170,Spoiled
3737,1819,2165,Spoiled
3728,1820,2171,Spoiled
3749,1815,2123,Spoiled
3726,1774,2171,Spoiled
3731,1818,2159,Spoiled
3745,1821,2142,Spoiled
3728,1817,2155,Spoiled
3731,1831,2155,Spoiled
3747,1826,2160,Spoiled
3744,1817,2163,Spoiled
3750,1825,2154,Spoiled
3749,1821,2155,Spoiled
3765,1819,2150,Spoiled
3760,1821,2156,Spoiled
3755,1829,2154,Spoiled
3759,1815,2160,Spoiled
3759,1822,2160,Spoiled
3777,1826,2166,Spoiled
3765,1832,2165,Spoiled
3776,1834,2160,Spoiled
3761,1805,2155,Spoiled
3862,1919,2274,Spoiled
3621,1847,2209,Spoiled
3689,1809,2175,Spoiled
3681,1818,2162,Spoiled
3675,1830,2167,Spoiled
3697,1853,2160,Spoiled
3687,1807,2158,Spoiled
3693,1808,2153,Spoiled
3695,1805,2155,Spoiled
3678,1814,2157,Spoiled
3690,1798,2167,Spoiled
3703,1811,2160,Spoiled
3696,1808,2160,Spoiled
3696,1809,2158,Spoiled
3693,1803,2160,Spoiled
3697,1813,2159,Spoiled
3698,1813,2167,Spoiled
3709,1808,2160,Spoiled
3687,1811,2151,Spoiled
3713,1808,2128,Spoiled
3703,1809,2155,Spoiled
3697,1810,2161,Spoiled
3697,1809,2157,Spoiled
3718,1807,2151,Spoiled
3952,1810,2160,Spoiled
3722,1824,2171,Spoiled
3711,1808,2160,Spoiled
3710,1806,2163,Spoiled
3703,1818,2170,Spoiled
3715,1812,2158,Spoiled
3720,1825,2162,Spoiled
3727,1813,2162,Spoiled
3714,1815,2167,Spoiled
3622,1776,2156,Spoiled
3641,1779,2153,Spoiled
3635,1775,2147,Spoiled
3652,1780,2145,Spoiled
3650,1791,2144,Spoiled
3632,1793,2151,Spoiled
3633,1782,2159,Spoiled
3652,1783,2155,Spoiled
3632,1792,2157,Spoiled
3648,1787,2147,Spoiled
3655,1793,2160,Spoiled
3666,1795,2156,Spoiled
3676,1804,2163,Spoiled
3675,1809,2173,Spoiled
3679,1806,2176,Spoiled
3673,1835,2160,Spoiled
3666,1802,2166,Spoiled
3685,1805,2153,Spoiled
3690,1811,2162,Spoiled
3687,1806,2160,Spoiled
3691,1807,2165,Spoiled
3710,1805,2160,Spoiled
3694,1808,2202,Spoiled
3681,1795,2161,Spoiled
3681,1796,2166,Spoiled
3690,1803,2151,Spoiled
3694,1804,2160,Spoiled
3705,1801,2163,Spoiled
3441,1800,2179,Spoiled
3434,1803,2173,Spoiled
3359,1806,2189,Spoiled
3377,1805,2183,Spoiled
3439,1835,2218,Spoiled
3359,1826,2209,Spoiled
3380,1808,2194,Spoiled
3391,1806,2199,Spoiled
3393,1807,2192,Spoiled
3403,1810,2183,Spoiled
3383,1814,2192,Spoiled
3406,1808,2194,Spoiled
3408,1799,2187,Spoiled
3504,1831,2203,Spoiled
3487,1823,2198,Spoiled
3499,1831,2202,Spoiled
